,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
0,266,51630,151,b'GALAXY',b'STARBURST',0.05248393,1031.952,218.4372,145.1758,284.6306,36.25033,133.5714,107.7979,-47.20582,-13.38404
1,266,51602,439,b'GALAXY',b'STARFORMING',0.02524963,361.8823,62.27009,49.50208,196.5373,20.22365,85.68478,58.60144,-9.004434,-5.064639
2,267,51608,229,b'GALAXY',b'STARBURST',0.0371546,732.1072,147.4689,68.83253,215.644,16.31324,142.4632,101.7864,-50.48171,-14.81608
3,268,51633,38,b'GALAXY',b'',0.03283051,151.1079,45.61246,95.64,146.4963,38.41273,53.4021,49.65108,-2.315518,-2.076739
4,268,51633,348,b'GALAXY',b'STARBURST',0.05736349,235.4645,71.243,90.98298,44.31968,7.145281,54.01042,34.26589,-45.68194,-8.963382
5,268,51633,516,b'GALAXY',b'STARFORMING',0.03265744,230.2115,72.12334,83.65878,45.74789,9.351771,53.76291,40.8898,-23.6786,-4.462362
6,269,51910,498,b'QSO',b'',0.1227516,207.2204,35.03456,417.6251,204.4124,30.8359,35.48033,33.33672,-13.08108,-12.17849
7,269,51910,576,b'GALAXY',b'STARFORMING',0.04705122,770.6807,175.8909,44.0558,274.0989,15.43876,130.4917,91.85715,-43.75001,-15.25648
8,270,51909,172,b'GALAXY',b'STARFORMING',0.06949116,98.82668,19.11937,9.671737,46.07165,7.919681,24.3009,18.52656,-11.18985,-5.328192
9,270,51909,477,b'GALAXY',b'STARBURST',0.09241752,343.7934,87.65579,31.25239,126.1047,14.81628,72.06064,57.42749,-38.22985,-14.23875
10,270,51909,614,b'GALAXY',b'STARFORMING',0.1297009,249.0042,48.81063,40.1546,137.401,18.11111,67.50287,60.22765,-13.63911,-7.60388
